"Fish_ID_comp","Date","Fish_ID_day","Trap","Habitat","PIT_tag","Species","FL","TL","Weight","Diet","Fin.Clip","Pink_Salmon_pres_abs","date","doy","age_cluster"
387,"6/17/2021","42",3,"Main_Side",NA,"Coho",70,75,4.7,"N","N",0,2021-06-17,168,"age-1"
390,"6/17/2021","45",3,"Main_Side",NA,"Coho",69,74,3.8,"N","N",0,2021-06-17,168,"age-1"
391,"6/17/2021","46",3,"Main_Side",NA,"Coho",62,67,3,"N","N",0,2021-06-17,168,"age-1"
402,"6/17/2021","57",3,"Main_Side",NA,"Coho",51,55,1.5,"N","N",0,2021-06-17,168,"age-1"
406,"6/17/2021","61",3,"Main_Side",NA,"Coho",60,64,2.4,"N","N",0,2021-06-17,168,"age-1"
409,"6/17/2021","64",4,"Main_Side",NA,"Coho",33,35,0.1,"N","N",0,2021-06-17,168,"age-0"
410,"6/17/2021","65",4,"Main_Side",NA,"Coho",33,34,0.3,"N","N",0,2021-06-17,168,"age-0"
415,"6/17/2021","70",5,"Main_Side",NA,"Coho",74,79,5.1,"N","N",0,2021-06-17,168,"age-1"
417,"6/17/2021","72",5,"Main_Side",NA,"Coho",62,67,2.7,"N","N",0,2021-06-17,168,"age-1"
418,"6/17/2021","73",5,"Main_Side",NA,"Coho",60,64,2.1,"N","N",0,2021-06-17,168,"age-1"
422,"6/17/2021","77",7,"Seep",NA,"Coho",65,70,3.3,"Y","N",0,2021-06-17,168,"age-1"
423,"6/17/2021","78",7,"Seep",NA,"Coho",68,73,3.4,"Y","N",0,2021-06-17,168,"age-1"
429,"6/17/2021","84",7,"Seep",NA,"Coho",52,56,1.8,"Y","N",0,2021-06-17,168,"age-1"
430,"6/17/2021","85",7,"Seep",NA,"Coho",64,69,3.2,"Y","N",0,2021-06-17,168,"age-1"
431,"6/17/2021","86",7,"Seep",NA,"Coho",60,65,2.5,"Y","N",0,2021-06-17,168,"age-1"
432,"6/17/2021","87",7,"Seep",NA,"Coho",65,70,3.1,"Y","N",0,2021-06-17,168,"age-1"
433,"6/17/2021","88",7,"Seep",NA,"Coho",71,75,3.4,"Y","N",0,2021-06-17,168,"age-1"
434,"6/17/2021","89",7,"Seep",NA,"Coho",62,67,2.6,"Y","N",0,2021-06-17,168,"age-1"
435,"6/17/2021","90",7,"Seep",NA,"Coho",66,71,3.3,"Y","N",0,2021-06-17,168,"age-1"
436,"6/17/2021","91",7,"Seep",NA,"Coho",56,60,1.7,"Y","N",0,2021-06-17,168,"age-1"
